date,home_team,score,away_team
09-04-2022,AC Goianiense,1 - 1,Flamengo RJ
17-04-2022,RB Bragantino,4 - 0,AC Goianiense
24-04-2022,AC Goianiense,1 - 1,Botafogo FR
30-04-2022,Cuiaba,1 - 1,AC Goianiense
08-05-2022,AC Goianiense,0 - 1,Goiás EC
14-05-2022,Atletico Mineiro,2 - 0,AC Goianiense
21-05-2022,AC Goianiense,2 - 0,Coritiba FBC
30-05-2022,Internacional RS,1 - 1,AC Goianiense
04-06-2022,AC Goianiense,0 - 1,Corinthians
08-06-2022,AC Goianiense,2 - 1,Avai
11-06-2022,Fluminense FC,0 - 2,AC Goianiense
16-06-2022,SE Palmeiras,4 - 2,AC Goianiense
19-06-2022,AC Goianiense,3 - 1,Juventude
26-06-2022,Ceará SC,1 - 1,AC Goianiense
03-07-2022,AC Goianiense,1 - 2,Sao Paulo
10-07-2022,Santos,1 - 0,AC Goianiense
17-07-2022,AC Goianiense,0 - 1,Fortaleza EC
20-07-2022,CA Paranaense,4 - 1,AC Goianiense
24-07-2022,AC Goianiense,0 - 1,America Mineiro
30-07-2022,Flamengo RJ,4 - 1,AC Goianiense
06-08-2022,AC Goianiense,2 - 1,RB Bragantino
14-08-2022,Botafogo FR,0 - 0,AC Goianiense
21-08-2022,AC Goianiense,1 - 1,Cuiaba
27-08-2022,Goiás EC,? - ?,AC Goianiense
10-04-2022,Avai,1 - 0,America Mineiro
16-04-2022,America Mineiro,4 - 1,Juventude
24-04-2022,Santos,3 - 0,America Mineiro
30-04-2022,America Mineiro,1 - 0,CA Paranaense
07-05-2022,Atletico Mineiro,1 - 2,America Mineiro
15-05-2022,Coritiba FBC,1 - 0,America Mineiro
22-05-2022,America Mineiro,1 - 1,Botafogo FR
29-05-2022,Corinthians,1 - 1,America Mineiro
04-06-2022,America Mineiro,2 - 1,Cuiaba
08-06-2022,America Mineiro,0 - 2,Ceará SC
12-06-2022,Sao Paulo,1 - 0,America Mineiro
16-06-2022,America Mineiro,0 - 0,Fluminense FC
19-06-2022,Fortaleza EC,1 - 0,America Mineiro
25-06-2022,Flamengo RJ,3 - 0,America Mineiro
03-07-2022,America Mineiro,1 - 0,Goiás EC
11-07-2022,Internacional RS,1 - 0,America Mineiro
17-07-2022,America Mineiro,0 - 3,RB Bragantino
21-07-2022,America Mineiro,0 - 1,SE Palmeiras
24-07-2022,AC Goianiense,0 - 1,America Mineiro
